,Station Names
0,Alewife
1,Davis
2,Porter Square
3,Harvard Square
4,Central Square
5,Kendall/MIT
6,Charles/MGH
7,Park Street
8,Downtown Crossing
9,South Station
10,Broadway
11,Andrew
12,JFK/UMass
13,Savin Hill
14,Fields Corner
15,Shawmut
16,Ashmont
17,Cedar Grove
18,Butler
19,Milton
20,Central Avenue
21,Valley Road
22,Capen Street
23,Mattapan
24,North Quincy
25,Wollaston
26,Quincy Center
27,Quincy Adams
28,Braintree
29,Oak Grove
30,Malden Center
31,Wellington
32,Sullivan Square
33,Community College
34,North Station
35,Haymarket
36,State
37,Downtown Crossing
38,Chinatown
39,New England Medical Center
40,Back Bay
41,Massachusetts Avenue
42,Ruggles
43,Roxbury Crossing
44,Jackson Square
45,Stony Brook
46,Green Street
47,Forest Hills
48,Lechmere
49,Science Park
50,North Station
51,Haymarket
52,Government Center
53,Park Street
54,Boylston
55,Arlington
56,Copley
57,Hynes Convention Center
58,Kenmore
59,Blandford Street
60,Boston University East
61,Boston University Central
62,Boston University West
63,St. Paul Street (1)
64,Pleasant Street
65,Babcock Street
66,Packards Corner
67,Harvard Avenue
68,Griggs Street/Long Avenue
69,Allston Street
70,Warren Street
71,Washington Street
72,Sutherland Street
73,Chiswick Road
74,Chestnut Hill Avenue
75,South Street
76,Boston College
77,St. Marys Street
78,Hawes Street
79,Kent Street
80,St. Paul Street (2)
81,Coolidge Corner
82,Summit Avenue
83,Brandon Hall
84,Fairbanks
85,Washington Square
86,Tappan Street
87,Dean Road
88,Englewood Avenue
89,Cleveland Circle
90,Fenway
91,Longwood
92,Brookline Village
93,Brookline Hills
94,Beaconsfield
95,Reservoir
96,Chestnut Hill
97,Newton Center
98,Newton Highlands
99,Eliot
100,Waban
101,Woodland
102,Riverside
103,Prudential
104,Symphony
105,Northeastern University
106,Museum of Fine Arts
107,Longwood Medical Area
108,Brigham Circle
109,Fenwood Street
110,Mission Park
111,Riverway
112,Back of the Hill
113,Heath Street
114,Wonderland
115,Revere Beach
116,Beachmont
117,Suffolk Downs
118,Orient Heights
119,Wood Island
120,Airport
121,Maverick
122,Aquarium
123,State
124,Government Center
125,Bowdoin
